model,year,distance,price,date,condition
X6 (F16) xDrive 30d,16/04식,"100,000km","4,980만원",2020-09-29,sold
X6 (F16) M50d,15/11식,"134,722km","5,530만원",2020-09-29,sold
X6 (F16) xDrive 30d,16/06식,"165,000km","4,050만원",2020-09-28,sold
X6 (E71) 30d,08/09식,"238,483km",100만원,2020-09-28,sold
X6 (F16) xDrive 30d,16/01식,"83,019km","5,490만원",2020-09-28,sold
X6 (G06) xDrive30d xLine 퍼스트 에디션,20/01식,"9,760km","99,999만원",2020-09-28,sold
X6 (F16) xDrive 30d,17/10식,"46,938km","6,350만원",2020-09-28,sold
X6 (F16) xDrive 30d,17/12식(18년형),"27,997km","7,000만원",2020-09-28,sold
X6 (F16) xDrive 30d,15/07식,"226,626km","3,490만원",2020-09-28,sold
X6 (E71) 35i,11/11식,"91,257km","9,999만원",2020-09-27,sold
X6 (F16) M50d,17/03식,"82,226km","8,290만원",2020-09-26,sold
X6 (F16) xDrive 30d,17/11식(18년형),"34,205km","6,350만원",2020-09-26,sold
X6 (F16) xDrive 30d,16/12식,"98,773km","4,890만원",2020-09-26,sold
X6 (F16) xDrive 40d,15/09식,"73,375km","9,999만원",2020-09-25,sold
X6 (F16) xDrive 30d,18/12식,"10,411km","7,649만원",2020-09-25,sold
X6 (E71) 30d,13/01식,"159,027km","2,930만원",2020-09-25,sold
X6 (E71) 30d,14/05식,"150,039km","3,100만원",2020-09-25,sold
X6 (F16) xDrive 30d,16/05식,"75,401km","5,300만원",2020-09-25,sold
X6 (E71) 30d,12/07식,"203,112km","2,020만원",2020-09-25,sold
X6 (E71) 30d,14/04식,"78,397km","3,650만원",2020-09-25,sold
X6 (E71) 30d,13/03식,"150,100km","2,690만원",2020-09-25,sold
X6 (F16) xDrive 30d,15/01식,"167,347km","3,750만원",2020-09-24,sold
X6 (E71) 30d,13/09식,"97,845km","3,280만원",2020-09-24,sold
X6 (E71) 30d,10/01식,"220,000km","1,640만원",2020-09-24,sold
X6 (E71) 30d,11/11식,"208,624km","1,930만원",2020-09-24,sold
X6 (E71) 30d,10/12식(11년형),"152,127km","9,999만원",2020-09-24,sold
X6 (F16) xDrive 30d,17/08식,"46,000km","5,999만원",2020-09-24,sold
X6 (F16) xDrive 30d,17/12식(18년형),"134,270km","4,900만원",2020-09-24,sold
